album,track_title,track_url,track_views
4:44,Kill Jay Z Lyrics,https://genius.com/Jay-z-kill-jay-z-lyrics,940.8K
4:44,The Story of O.J. Lyrics,https://genius.com/Jay-z-the-story-of-oj-lyrics,1.9M
4:44,Smile (Ft. Gloria Carter) Lyrics,https://genius.com/Jay-z-smile-lyrics,693.6K
4:44,Caught Their Eyes (Ft. Frank Ocean) Lyrics,https://genius.com/Jay-z-caught-their-eyes-lyrics,409.9K
4:44,4:44 Lyrics,https://genius.com/Jay-z-4-44-lyrics,1.8M
4:44,Family Feud (Ft. Beyoncé) Lyrics,https://genius.com/Jay-z-family-feud-lyrics,819.6K
4:44,Bam (Ft. Damian Marley) Lyrics,https://genius.com/Jay-z-bam-lyrics,604.1K
4:44,Moonlight Lyrics,https://genius.com/Jay-z-moonlight-lyrics,375.3K
4:44,Marcy Me Lyrics,https://genius.com/Jay-z-marcy-me-lyrics,405K
4:44,Legacy Lyrics,https://genius.com/Jay-z-legacy-lyrics,293.2K
4:44,Adnis Lyrics,https://genius.com/Jay-z-adnis-lyrics,110K
4:44,Blue's Freestyle/We Family (Ft. Blue Ivy Carter) Lyrics,https://genius.com/Jay-z-blues-freestyle-we-family-lyrics,180.2K
4:44,MaNyfaCedGod (Ft. James Blake) Lyrics,https://genius.com/Jay-z-manyfacedgod-lyrics,106.8K
Magna Carta... Holy Grail,Holy Grail (Ft. Justin Timberlake) Lyrics,https://genius.com/Jay-z-holy-grail-lyrics,6.2M
Magna Carta... Holy Grail,Picasso Baby Lyrics,https://genius.com/Jay-z-picasso-baby-lyrics,876.7K
Magna Carta... Holy Grail,Tom Ford Lyrics,https://genius.com/Jay-z-tom-ford-lyrics,1.6M
Magna Carta... Holy Grail,FuckWithMeYouKnowIGotIt (Ft. Rick Ross) Lyrics,https://genius.com/Jay-z-fuckwithmeyouknowigotit-lyrics,1.4M
Magna Carta... Holy Grail,Oceans (Ft. Frank Ocean) Lyrics,https://genius.com/Jay-z-oceans-lyrics,1.1M
Magna Carta... Holy Grail,F.U.T.W Lyrics,https://genius.com/Jay-z-futw-lyrics,470K
Magna Carta... Holy Grail,Somewhereinamerica Lyrics,https://genius.com/Jay-z-somewhereinamerica-lyrics,553.7K
