album,track_title,track_url,track_views
"The Hits Collection, Vol. One","Go Hard (Remix) by DJ Khaled (Ft. JAY-Z, Kanye West & T-Pain)",https://genius.com/Dj-khaled-go-hard-remix-lyrics,33.6K
"The Hits Collection, Vol. One",This Life Forever,https://genius.com/Jay-z-this-life-forever-lyrics,22.9K
Decoded (Excerpts),Decoded: Part 1 (Excerpts),https://genius.com/Jay-z-decoded-part-1-excerpts-lyrics,6.3K
Decoded (Excerpts),Decoded: Part 2 (Excerpts),https://genius.com/Jay-z-decoded-part-2-excerpts-annotated,
Decoded (Excerpts),Decoded: Part 3 (Excerpts),https://genius.com/Jay-z-decoded-part-3-excerpts-annotated,
Decoded (Excerpts),Decoded: Part 4 (Excerpts),https://genius.com/Jay-z-decoded-part-4-excerpts-annotated,
Decoded (Excerpts),Decoded: Epilogue (Excerpts),https://genius.com/Jay-z-decoded-epilogue-excerpts-annotated,
The Blueprint 3,What We Talkin' About (Ft. Luke Steele),https://genius.com/Jay-z-what-we-talkin-about-lyrics,101.6K
The Blueprint 3,Thank You,https://genius.com/Jay-z-thank-you-lyrics,137.3K
The Blueprint 3,D.O.A. (Death of Auto-Tune),https://genius.com/Jay-z-doa-death-of-auto-tune-lyrics,239.5K
The Blueprint 3,Run This Town (Ft. Kanye West & Rihanna),https://genius.com/Jay-z-run-this-town-lyrics,735.8K
The Blueprint 3,Empire State of Mind (Ft. Alicia Keys),https://genius.com/Jay-z-empire-state-of-mind-lyrics,1.9M
The Blueprint 3,Real As It Gets (Ft. Jeezy),https://genius.com/Jay-z-real-as-it-gets-lyrics,64.6K
The Blueprint 3,On To The Next One (Ft. Swizz Beatz),https://genius.com/Jay-z-on-to-the-next-one-lyrics,380.9K
The Blueprint 3,Off That (Ft. Drake),https://genius.com/Jay-z-off-that-lyrics,95.2K
The Blueprint 3,A Star Is Born (Ft. J. Cole),https://genius.com/Jay-z-a-star-is-born-lyrics,353K
The Blueprint 3,Venus vs. Mars,https://genius.com/Jay-z-venus-vs-mars-lyrics,121.6K
The Blueprint 3,Already Home (Ft. Kid Cudi),https://genius.com/Jay-z-already-home-lyrics,161.4K
The Blueprint 3,Hate (Ft. Kanye West),https://genius.com/Jay-z-hate-lyrics,111.7K
The Blueprint 3,Reminder,https://genius.com/Jay-z-reminder-lyrics,90K
The Blueprint 3,So Ambitious (Ft. Pharrell Williams),https://genius.com/Jay-z-so-ambitious-lyrics,85.7K
The Blueprint 3,Young Forever (Ft. Mr. Hudson),https://genius.com/Jay-z-young-forever-lyrics,488.8K
The Blueprint 3,The Blueprint 3 [Booklet],https://genius.com/Jay-z-the-blueprint-3-booklet-annotated,
American Gangster,Intro (American Gangster) (Ft. Angel Wood & Idris Elba),https://genius.com/Jay-z-intro-american-gangster-lyrics,35.3K
American Gangster,Pray,https://genius.com/Jay-z-pray-lyrics,85.4K
American Gangster,American Dreamin',https://genius.com/Jay-z-american-dreamin-lyrics,104.1K
American Gangster,Hello Brooklyn 2.0 (Ft. Lil Wayne),https://genius.com/Jay-z-hello-brooklyn-20-lyrics,78.3K
American Gangster,No Hook,https://genius.com/Jay-z-no-hook-lyrics,106.9K
American Gangster,Roc Boys (And the Winner Is)...,https://genius.com/Jay-z-roc-boys-and-the-winner-is-lyrics,207.3K
American Gangster,Sweet,https://genius.com/Jay-z-sweet-lyrics,47.3K
American Gangster,I Know (Ft. Pharrell Williams),https://genius.com/Jay-z-i-know-lyrics,123.4K
American Gangster,Party Life,https://genius.com/Jay-z-party-life-lyrics,76.2K
American Gangster,Ignorant Shit (Ft. Beanie Sigel),https://genius.com/Jay-z-ignorant-shit-lyrics,145.8K
American Gangster,Say Hello,https://genius.com/Jay-z-say-hello-lyrics,74K
American Gangster,Success (Ft. Nas),https://genius.com/Jay-z-success-lyrics,188K
